2007-03-31,2012-03-31,Percent Gain,State
345684.1449425108,232367.7850763343,-32.78031738627227,FL
429429.8032071562,190242.30668352413,-55.698858052534476,FL
504228.6749177026,320085.8209074764,-36.51971083165411,WA
600399.6876957361,404318.0392568477,-32.65851939254446,VA
187355.62529425664,162645.36788646493,-13.18895942888415,IA
219143.58006841736,174525.71090948366,-20.360107809228932,GA
798959.4307297794,429347.6585837308,-46.261644575424896,CA
880907.9632809185,507784.9551823256,-42.35663924627337,CA
158469.02223616853,180445.14727826827,13.867773481525258,AL
144633.10035547926,107337.20084546832,-25.786558829441574,OH
419618.0176115753,317582.9184410818,-24.31618636188867,NC
166001.5595025441,158345.46021832965,-4.612064674065386,TX
722179.0174170266,561256.3246803709,-22.28293662037123,NY
451928.8560416293,341345.3956298183,-24.469218757216204,OR
801234.689584704,422803.2936259147,-47.231029918953936,CA
161127.2310856509,117600.9063846486,-27.013636619787064,OH
150228.38077757432,155216.49091120332,3.320351392866505,NY
234332.2290498794,190721.5308096644,-18.610627491164312,AL
759176.4039914698,640270.2934581991,-15.662513996497541,VA
703303.1077032235,438094.4911804406,-37.70900677360498,CA
634497.4838068346,294772.59132989007,-53.54235456359506,NJ
556580.5236088746,236410.0181574596,-57.52456147323046,CA
410953.0659108884,306450.6427957697,-25.429284213633096,DE
271198.1335806033,243661.70438219048,-10.153620467387414,TN
507832.181593153,254641.7845035552,-49.857099700790506,FL
367154.9181674228,257972.46587795587,-29.737434223795333,MA
384923.7739128293,368718.1919053262,-4.210075632058263,CO
440635.3981246327,359722.08388610603,-18.362872021380483,UT
512819.2362771877,360544.1318111856,-29.69371928624276,OR
930800.7639857996,393930.7076531141,-57.678299922503726,CA
511963.23343919776,488633.85147572897,-4.556847140516284,TX
369682.3923254817,351205.50674704905,-4.998043174900502,TX
232959.5612248111,233816.59853777927,0.36789102300081034,SD
1089158.7942649417,742658.05013375,-31.813611197533444,CA
227531.65772632355,188293.10511248428,-17.245315665495497,PA
503253.84747232014,213085.8598169876,-57.658374419341584,CA
1252074.566940831,869969.8048821879,-30.517732102188777,CA
520157.34354501264,240066.24202112944,-53.847380028317346,FL
439276.4605748053,179272.10612008462,-59.18922997023284,FL
919754.6092655876,464448.3922010139,-49.50301009397822,CA
363911.3943023784,270831.86795885407,-25.5775245845101,OR
218678.1155171626,222863.52170986627,1.9139574999562203,TN
224427.3112827152,196274.42142429808,-12.544324350503144,TX
509909.8282130056,366855.28064102057,-28.054871598243956,SC
328629.8902447739,225338.07888388413,-31.43104581386519,IL
571260.907450999,284634.44158386893,-50.17435328212372,AZ
331452.15871831955,317708.60916730785,-4.14646554246505,TX
473048.6077440194,318086.286037284,-32.75822382096305,RI
814268.7840596769,489057.3971933173,-39.93907088577833,CA
380751.380740049,369462.4512099749,-2.964908363072083,KS
342082.1084293124,331656.048852936,-3.047823700645491,VA
546586.4559438265,234559.87437493005,-57.08640932752345,CA
500974.67948736966,344026.4015490634,-31.328584929463123,VA
258196.2227143336,225777.14514410397,-12.555984448346425,TN
442908.8323344554,165406.26758493975,-62.65455653410048,FL
455255.08426173305,354291.78040808043,-22.177303965178186,GA
817069.9581925279,442169.41678976855,-45.88353024655213,FL
683869.4418460465,339892.8601473467,-50.298574647547454,CA
176835.1596650492,133831.46164411856,-24.318522460344273,IL
198391.2910614627,168886.8122394215,-14.87186189685138,GA
188153.03666042455,174062.22460121423,-7.489016552329786,IN
182374.24229206875,183676.95065391043,0.714305016689476,PA
335131.39426124963,324062.614423414,-3.30281794763968,OK
322057.3630693031,251252.2473734609,-21.98524977694912,PA
663440.9688651402,325696.5147270863,-50.90798880204643,CA
